id,x,y,type
746,92,35,2
747,92,36,2
748,92,37,2
749,92,38,2
750,92,39,2
751,92,40,2
752,93,30,2
753,93,31,2
754,93,32,2
755,93,33,2
756,93,34,2
757,93,35,2
758,93,36,2
759,93,37,2
760,93,38,2
761,93,39,2
762,93,40,2
763,94,30,2
764,94,31,2
765,94,32,2
766,94,33,2
767,94,34,2
768,94,35,2
769,94,36,2
770,94,37,2
771,94,38,2
772,94,39,2
773,94,40,2
774,95,30,2
775,95,31,2
776,95,32,2
777,95,33,2
778,95,34,2
779,95,35,2
780,95,36,2
781,95,37,2
782,95,38,2
783,95,39,2
784,95,40,2
785,96,30,2
786,96,31,2
787,96,32,2
788,96,33,2
789,96,34,2
790,96,35,2
791,96,36,2
792,96,37,2
793,96,38,2
794,96,39,2
795,96,40,2
796,98,30,2
797,98,31,2
798,98,32,2
799,98,33,2
800,98,34,2
801,98,35,2
802,98,36,2
803,98,37,2
804,98,38,2
805,98,39,2
806,98,40,2
807,99,30,2
808,99,31,2
809,99,32,2
810,99,33,2
811,99,34,2
812,99,35,2
813,99,36,2
814,99,37,2
815,99,38,2
816,99,39,2
817,99,40,2
818,100,30,2
819,100,31,2
820,100,32,2
821,100,33,2
822,100,34,2
823,100,35,2
824,100,36,2
825,100,37,2
826,100,38,2
827,100,39,2
828,100,40,2
829,129,28,1
1,2,1,1
2,4,1,1
3,6,1,1
4,8,1,1
5,10,1,1
6,12,1,1
7,14,1,1
8,16,1,1
9,18,1,1
10,20,1,1
11,22,1,1
12,24,1,1
13,26,1,1
14,28,1,1
15,30,1,1
16,32,1,1
17,34,1,1
18,36,1,1
19,38,1,1
20,12,2,1
21,38,2,1
22,2,3,1
23,4,3,1
24,6,3,1
25,8,3,1
26,10,3,1
27,12,3,1
28,14,3,1
29,16,3,1
30,18,3,1
31,20,3,1
32,22,3,1
33,24,3,1
34,26,3,1
35,28,3,1
36,30,3,1
37,32,3,1
38,34,3,1
39,36,3,1
40,38,3,1
41,38,4,1
42,38,5,1
43,38,6,1
44,38,7,1
45,38,8,1
46,34,4,1
47,34,5,1
48,34,6,1
49,34,7,1
50,34,8,1
51,34,9,1
52,36,9,1
53,38,9,1
54,40,9,1
55,42,9,1
56,44,9,1
57,46,9,3
58,34,10,1
59,38,10,1
60,34,11,1
61,36,11,1
62,38,11,1
63,40,11,1
64,42,11,1
65,44,11,1
66,46,11,3
67,34,12,1
68,38,12,1
69,2,13,1
70,4,13,1
71,6,13,1
72,8,13,1
73,10,13,1
74,12,13,1
75,14,13,1
76,16,13,1
77,18,13,1
78,20,13,1
79,22,13,1
80,24,13,1
81,26,13,1
82,28,13,1
83,30,13,1
84,32,13,1
85,34,13,1
86,38,13,1
87,2,14,1
88,16,14,1
89,22,14,1
90,34,14,1
91,38,14,1
92,2,15,1
93,4,15,1
94,6,15,1
95,8,15,1
96,10,15,1
97,12,15,1
98,14,15,1
99,16,15,1
100,18,15,1
101,20,15,1
102,22,15,1
103,24,15,1
104,26,15,1
105,28,15,1
106,30,15,1
107,32,15,1
108,34,15,1
109,36,15,1
110,38,15,1
111,40,15,1
112,42,15,1
113,34,16,1
114,34,17,1
115,34,18,1
116,34,19,1
117,34,20,1
118,34,21,1
119,34,22,1
120,34,23,1
121,34,24,1
122,16,22,1
123,16,23,1
124,16,24,1
125,16,25,1
126,18,25,1
127,20,25,1
128,20,24,1
129,20,23,1
130,20,22,1
131,22,25,1
132,24,25,1
133,24,24,1
134,24,23,1
135,24,22,3
136,26,25,1
137,28,25,1
138,28,24,1
139,28,23,1
140,28,22,3
141,30,25,1
142,32,25,1
143,34,25,1
144,36,25,1
145,38,25,1
146,40,25,1
147,40,24,1
148,40,23,1
149,36,22,1
150,38,22,1
151,40,22,1
152,42,22,1
153,44,22,1
154,46,22,1
155,48,22,1
156,50,22,1
157,52,22,1
158,54,22,1
159,56,22,1
160,58,22,1
161,60,22,1
162,62,22,1
163,64,22,1
164,66,22,1
165,56,23,1
166,56,24,1
167,56,25,1
168,60,23,1
169,60,24,1
170,40,21,1
171,52,21,1
172,56,21,1
173,60,21,1
174,36,20,1
175,38,20,1
176,40,20,1
177,42,20,1
178,44,20,1
179,46,20,1
180,48,20,1
181,50,20,1
182,52,20,1
183,54,20,1
184,56,20,1
185,58,20,1
186,60,20,1
187,62,20,1
188,64,20,1
189,66,20,1
190,52,19,1
191,52,18,1
192,56,19,1
193,56,18,1
194,56,17,1
195,66,21,1
196,68,21,1
197,70,21,1
198,72,21,1
199,74,21,1
200,76,21,1
201,78,21,1
202,80,21,1
203,82,21,1
204,84,21,1
205,86,21,1
206,88,21,1
207,90,21,1
208,92,21,1
209,94,21,1
210,96,21,1
211,98,21,1
212,72,22,1
213,72,23,1
214,72,24,1
215,72,25,1
216,72,26,1
217,76,22,1
218,76,23,1
219,76,24,1
220,76,25,1
221,76,26,1
